Year,Copper 1.2,Copper 1.2 SD,Copper 1.3,Copper 1.3 SD,Bristol Bay 1.2,Bristol Bay 1.2 SD,Bristol Bay 1.3,Bristol Bay 1.3 SD,Bristol Bay 2.2,Bristol Bay 2.2 SD,Bristol Bay 2.3,Bristol Bay 2.3 SD,Chilkoot 1.2,Chilkoot 1.2 SD,Chilkoot 1.3,Chilkoot 1.3 SD,HughSmith 1.2,HughSmith 1.2 SD,HughSmith 1.3,HughSmith 1.3 SD,McDonald 1.2,McDonald 1.2 SD,McDonald 1.3,McDonald 1.3 SD,GoodNews 1.2 ,GoodNews 1.2 SD,GoodNews 1.3 ,GoodNews 1.3 SD,Kanektok 1.2,Kanektok 1.2 SD,Kanektok 1.3,Kanektok 1.3 SD,Taku 1.2,Taku 1.2 SD,Taku 1.3,Taku 1.3 SD,Dist 101 1.2,Dist 101 1.2 SD,Dist 101 1.3,Dist 101 1.3 SD,Dist 115 1.2,Dist 115 1.2 SD,Dist 115 1.3,Dist 115 1.3 SD,Karluk Late 2.2,Karluk Late 2.2 SD,Karluk Early 2.2,Karluk Early 2.2 SD,Frazer 2.2,Frazer 2.2 SD,Ayakulik 2.2,Ayakulik 2.2 SD,Chignik 1.3,Chignik 1.3 SD,Upper Station 2.2,Upper Station 2.2 SD,Bear 2.2,Bear 2.2 SD,Cook Inlet Drift 1.3,Cook Inlet Drift 1.3 SD,Crescent 1.3,Crescent 1.3 SD,Crescent 1.2,Crescent 1.2 SD,Fish 1.2,Fish 1.2 SD,Fish 1.3,Fish 1.3 SD,HiddenLake 1.2,HiddenLake 1.2 SD,HiddenLake 1.3,HiddenLake 1.3 SD,Kasilof 1.3,Kasilof 1.3 SD,Kasilof 1.2,Kasilof 1.2 SD,Kenai 1.3,Kenai 1.3 SD,Kenai 1.2,Kenai 1.2 SD,Yetna 1.3,Yetna 1.3 SD,Yetna 1.2,Yetna 1.2 SD
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568,29,603,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,35,604,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,510,41,574,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,529,43,569,30,,,,,,,,,,,,,,,,,,,,,,,,,527,45,576,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,25,555,31,,,,,,,,,579,34,518,54,,,,
1968,518,35,576,33,,,,,,,,,,,,,,,,,,,,,,,,,534,22,588,30,,,,,,,,,,,,,,,,,,,,,,,,,,,574,29,,,,,,,,,,,,,552,29,511,31,579,33,533,43,,,,
1969,516,33,569,35,,,,,,,,,,,,,,,,,,,,,,,,,531,20,589,29,,,,,,,,,,,,,,,,,,,,,,,,,,,564,37,,,,,473,26,522,60,,,,,535,34,494,31,580,28,523,42,,,,
1970,518,65,558,28,,,,,,,,,,,,,,,,,,,,,,,,,521,27,570,30,,,,,,,,,,,,,,,,,,,,,,,,,,,572,28,,,,,487,28,522,24,,,,,536,25,472,20,565,38,488,34,,,,
1971,519,37,579,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582,25,,,,,478,36,525,32,,,,,550,20,486,20,595,33,523,49,,,,
1972,521,34,570,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572,30,,,,,514,29,557,34,540,35,638,25,545,27,480,25,598,37,523,40,,,,
1973,565,43,581,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592,32,,,,,507,34,573,49,534,29,566,36,545,26,485,37,597,30,501,52,,,,
1974,533,31,589,28,,,,,,,,,,,,,,,,,,,,,,,,,540,24,552,27,,,,,,,,,,,,,,,,,,,,,,,,,,,585,34,,,,,523,29,573,11,,,,,559,28,505,21,594,30,530,42,572,35,507,37
1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544,30,586,33,,,,,,,,,,,,,,,,,,,,,,,,,,,592,26,,,480,42,497,34,500,33,,,,,538,30,481,25,597,31,505,38,577,28,488,37
1976,528,37,590,29,,,,,,,,,,,,,,,,,,,,,,,,,557,29,593,36,,,,,,,,,,,,,,,,,,,,,,,,,,,591,31,,,,,528,31,576,32,,,,,556,25,492,19,589,37,503,43,,,,
1977,532,48,595,29,,,,,,,,,,,,,,,,,,,,,,,,,532,36,581,36,,,,,,,,,,,,,,,,,,,,,,,,,,,602,27,,,,,,,,,,,,,566,27,491,26,608,26,515,56,,,,
1978,523,32,571,34,,,,,,,,,,,,,,,,,,,,,,,,,532,24,559,29,,,,,,,,,,,,,,,,,,,,,,,,,,,604,29,592,27,538,30,,,,,,,,,555,23,498,28,599,28,511,44,,,,
1979,508,27,591,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586,29,577,31,518,51,514,31,,,,,,,568,32,489,25,595,30,509,50,,,,
1980,,,,,,,,,,,,,,,,,,,,,,,,,533,31,571,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564,28,557,26,477,47,547,44,589,47,,,,,529,32,471,29,565,40,477,42,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,540,40,571,36,533,22,579,28,,,,,,,,,,,,,,,,,,,,,,,,,,,577,27,561,29,477,42,512,34,543,30,,,,,562,23,499,29,579,28,506,49,,,,
1982,,,,,,,,,,,,,467,42,577,30,488,34,589,24,502,58,599,23,525,21,587,25,530,25,573,25,,,,,544,32,594,27,513,33,585,25,,,,,,,,,,,,,,,,,572,28,511,62,,,,,,,,,544,27,475,30,583,29,495,45,,,,
1983,515,36,569,43,,,,,,,,,456,34,573,22,473,34,579,28,457,22,566,34,534,31,575,30,529,22,575,27,469,,578,,532,32,582,28,521,43,587,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553,23,492,21,587,27,526,32,,,,
1984,507,39,585,29,,,,,,,,,461,37,572,27,465,32,587,29,456,33,582,28,554,40,577,30,541,36,573,30,476,,576,,530,31,588,29,509,37,582,26,,,,,,,,,,,,,,,556,28,561,31,488,41,497,34,551,46,521,21,570,26,536,25,481,26,574,28,517,33,561,28,478,38
1985,502,33,569,31,,,,,,,,,472,35,569,26,490,61,579,26,499,27,572,24,536,36,585,30,541,37,587,29,486,,579,,526,26,579,27,507,30,577,24,,,,,,,,,,,,,,,556,30,557,26,480,33,,,,,,,,,529,24,473,20,560,30,491,43,552,34,464,39
1986,506,38,566,31,,,,,,,,,472,40,582,27,524,32,577,39,471,41,572,31,547,41,586,28,,,,,493,,582,,535,31,586,27,515,37,586,25,,,,,,,,,,,,,,,559,31,559,24,480,54,504,33,568,38,,,,,547,28,482,24,570,30,491,46,570,31,461,35
1987,511,30,581,34,516,27,577,31,528,29,583,32,470,37,583,28,530,51,595,22,477,39,598,25,541,34,589,31,534,30,588,31,463,,592,,536,31,592,27,508,38,591,24,531,24,519,30,506,27,523,25,591,28,555,32,481,33,580,32,586,30,487,50,508,28,553,33,,,,,552,29,471,28,592,27,507,44,576,31,476,37
1988,512,33,574,31,516,32,581,32,534,30,587,29,497,46,579,27,528,31,591,29,513,38,592,25,545,42,597,30,530,45,584,35,482,,578,,542,25,589,26,519,41,589,24,533,22,507,29,509,22,528,34,583,32,526,28,474,32,576,29,,,,,478,29,567,25,,,,,547,24,478,24,582,29,515,45,568,31,470,39
1989,500,42,583,31,506,31,573,34,521,28,585,30,468,34,581,25,492,37,597,27,490,37,589,26,554,41,583,36,529,43,577,36,468,,591,,531,28,588,28,498,44,590,27,534,33,510,30,506,26,541,26,590,30,532,44,473,33,,,579,28,477,23,489,32,547,32,535,31,580,26,548,27,475,29,578,32,466,37,566,32,463,35
1990,502,40,569,34,496,29,566,30,511,29,573,31,468,41,579,26,503,33,589,27,506,36,594,24,542,44,578,32,518,33,576,37,470,,574,,528,26,586,25,506,41,583,26,540,34,507,38,504,48,526,32,568,38,505,42,464,35,569,31,585,26,541,44,505,41,545,30,507,28,567,34,525,29,464,27,574,37,481,45,562,34,449,32
1991,525,49,585,34,503,31,559,29,512,28,563,30,482,41,566,28,495,37,563,34,481,42,577,32,533,31,570,31,503,34,568,33,463,,569,,536,30,577,28,512,36,575,27,524,36,507,36,506,26,532,32,572,28,518,35,458,29,553,29,553,30,511,34,484,30,528,32,512,21,558,29,526,28,466,29,549,34,489,38,551,35,469,36
1992,510,35,560,32,503,30,556,30,513,31,561,32,472,45,571,26,507,30,569,25,512,29,577,24,559,42,582,34,522,35,572,34,467,,568,,534,19,577,16,517,35,575,25,519,40,482,29,499,41,523,30,567,27,498,36,455,30,563,28,546,37,487,34,,,,,511,25,555,16,529,28,464,27,555,29,469,36,545,38,454,33
1993,501,32,552,29,511,30,567,28,527,28,572,29,488,53,576,25,495,33,565,23,471,37,567,25,531,30,573,37,511,32,556,30,470,,558,,525,25,573,27,524,37,579,25,523,35,505,30,498,40,552,35,567,29,515,33,481,35,556,27,568,26,487,31,496,25,532,26,529,30,568,41,547,26,479,23,567,32,478,44,554,25,472,32
1994,483,43,551,28,501,29,559,32,511,29,566,29,472,51,568,24,466,38,556,27,449,27,567,25,558,30,567,28,488,23,542,30,455,,557,,526,29,570,25,523,48,580,26,514,33,484,36,482,27,514,28,566,28,500,38,456,27,555,29,554,26,464,24,469,27,524,27,493,27,557,31,535,26,466,19,564,30,458,36,578,36,473,35
1995,498,31,553,31,507,51,560,54,512,65,564,81,497,34,571,26,484,38,563,25,456,25,550,31,517,33,570,41,516,26,567,42,481,,562,,537,26,571,26,524,29,580,25,539,34,505,39,513,30,535,30,563,38,530,35,466,31,564,29,565,26,489,27,483,32,537,36,514,25,559,31,538,29,487,24,572,28,489,42,556,28,465,38
1996,517,36,576,31,506,32,573,29,527,35,577,30,510,34,589,26,503,35,572,28,506,36,598,23,534,19,573,28,516,29,569,29,489,,583,,538,32,591,27,536,34,598,26,549,31,520,34,527,32,540,29,596,30,542,37,474,35,589,30,596,32,487,34,471,30,550,27,539,23,587,25,562,28,476,28,597,29,511,45,579,27,465,42
1997,524,30,580,33,505,33,569,31,525,31,585,35,509,32,578,29,508,29,587,30,500,35,578,31,515,33,575,29,516,31,571,30,503,,580,,543,30,586,32,548,30,602,30,506,37,503,37,512,31,505,36,576,31,522,35,464,39,584,32,578,29,473,32,471,31,539,28,514,20,566,25,548,29,455,30,582,32,487,39,569,32,481,37
1998,505,32,555,34,494,32,555,36,515,40,564,47,492,35,573,25,519,25,583,25,460,29,564,28,513,30,561,28,507,26,556,27,483,,569,,550,26,586,29,536,39,585,27,514,37,488,30,490,27,515,34,562,31,507,37,494,33,561,30,568,25,483,30,483,21,528,27,510,22,556,23,526,28,472,23,562,33,489,37,550,28,487,32
1999,515,33,569,32,515,33,566,34,525,31,577,37,492,40,579,27,510,41,580,25,491,33,570,27,524,32,559,29,512,27,568,32,485,,568,,541,28,592,29,543,49,590,29,529,32,509,34,515,34,535,33,578,30,532,37,478,36,578,30,558,34,474,37,477,29,532,38,499,24,548,30,543,26,476,28,587,28,491,42,569,30,476,37
2000,514,31,566,36,506,31,566,33,519,28,566,27,508,41,583,24,521,43,588,27,488,39,595,25,532,30,579,26,516,27,568,27,503,,582,,544,30,586,30,522,32,597,35,523,31,505,35,506,34,512,35,600,33,550,40,486,38,584,30,578,28,462,25,469,31,543,31,519,24,560,25,552,30,478,24,594,26,513,37,584,33,464,33
2001,515,36,566,29,502,39,574,28,522,32,578,27,495,39,582,23,507,43,592,24,,,585,28,538,38,582,27,510,37,569,33,498,,586,,556,29,600,28,531,50,600,25,535,26,519,33,521,34,516,27,594,28,528,39,488,33,567,31,568,25,470,31,497,30,539,31,525,24,564,24,547,23,478,22,586,30,515,37,570,34,486,39
2002,517,37,577,31,493,30,569,33,518,30,581,30,480,40,584,27,551,33,606,26,501,31,578,28,520,29,579,31,,,,,473,,589,,548,27,598,30,528,30,606,23,536,33,502,35,516,37,533,29,590,39,545,36,473,31,589,33,571,28,474,34,477,32,537,26,537,21,582,21,549,26,481,25,592,33,505,48,578,33,490,41
2003,488,34,555,31,514,33,577,28,531,28,585,26,495,33,578,25,518,25,578,23,511,20,575,23,536,38,585,29,525,27,571,33,475,,578,,547,27,590,25,525,29,588,22,535,32,514,33,502,33,523,30,584,30,521,37,493,33,575,29,566,27,475,30,476,22,520,26,,,,,547,23,482,21,582,25,475,39,563,28,478,34
2004,512,32,559,33,512,34,572,32,525,29,581,31,,,,,542,33,599,26,520,21,579,24,520,37,557,28,500,30,565,32,500,,570,,537,25,596,28,525,26,590,22,529,30,492,32,509,27,515,27,572,35,530,38,488,32,585,28,554,22,470,37,473,30,538,25,521,22,568,22,544,29,478,26,576,30,490,39,562,26,475,29
2005,501,33,555,29,501,31,564,27,521,29,569,29,,,,,519,29,579,23,518,32,572,24,521,31,562,25,508,29,549,29,472,,563,,532,26,576,23,531,31,580,23,509,31,488,33,487,32,496,28,574,28,512,38,483,35,579,24,548,24,464,28,,,,,,,,,544,20,472,21,574,27,497,34,,,,
2006,515,35,555,28,506,36,556,31,517,37,566,35,,,,,520,28,577,25,504,37,566,30,503,32,551,25,504,35,534,37,484,,570,,536,26,577,25,513,26,577,21,489,33,476,36,514,38,500,33,568,26,511,34,482,32,543,29,542,23,470,32,480,27,525,24,502,21,547,25,516,23,462,21,562,26,497,34,558,29,461,32
2007,532,38,562,29,506,31,561,61,520,28,564,28,,,,,540,31,585,24,521,43,583,25,516,32,553,26,504,30,538,32,499,,585,,550,34,584,24,523,34,588,22,501,29,491,37,498,39,519,33,,,544,34,490,34,581,30,557,25,467,34,475,27,522,25,524,25,562,32,542,28,466,23,581,30,505,38,559,28,487,33
2008,501,37,545,34,500,34,550,32,513,28,559,32,,,,,513,39,583,31,520,26,574,21,,,,,499,27,555,28,487,,583,,551,30,586,28,544,31,594,23,507,40,479,47,490,37,516,36,582,37,537,42,481,33,570,33,558,26,451,30,472,31,519,30,511,28,573,24,536,27,455,20,583,30,471,46,563,30,462,42
2009,515,29,564,33,513,29,563,28,514,27,563,27,,,,,511,39,591,28,507,26,577,25,527,30,560,30,521,27,557,36,467,,577,,539,27,588,31,538,31,596,25,514,26,502,39,527,31,513,32,583,34,544,40,481,36,580,31,,,,,486,29,541,24,518,27,553,26,543,27,476,30,584,26,489,46,567,29,479,37
2010,505,37,551,32,495,29,556,28,505,26,557,28,,,,,530,32,578,24,532,19,585,20,528,31,554,25,499,34,555,27,477,,563,,531,19,577,23,524,40,586,20,526,33,479,38,506,31,506,30,565,27,517,37,482,35,572,28,554,25,479,38,492,28,524,29,500,25,543,27,535,22,469,23,572,26,484,44,556,28,469,37
2011,513,30,562,31,497,32,561,27,512,29,562,27,,,,,527,37,590,25,518,25,568,25,521,28,560,24,510,26,556,26,466,,576,,545,25,593,22,522,27,591,23,530,34,506,37,503,34,531,31,577,26,537,33,472,36,582,28,563,24,470,39,490,26,533,22,507,26,546,34,549,31,464,30,579,25,476,40,570,25,474,47
2012,508,35,569,33,497,28,551,29,510,27,559,30,,,,,527,32,592,26,535,14,587,29,507,26,557,25,508,31,548,29,499,,580,,541,28,583,26,539,30,585,26,520,33,495,34,492,29,527,28,576,31,523,35,490,33,590,29,536,38,457,35,477,27,530,32,501,22,549,23,535,27,470,24,578,26,467,33,568,32,471,38
2013,513,29,555,29,496,27,557,25,513,27,561,24,,,,,515,36,576,28,498,38,570,27,513,24,558,24,502,22,554,27,502,,581,,539,24,572,25,527,32,579,23,527,29,498,32,493,29,523,27,577,25,526,32,505,32,560,25,,,,,458,30,507,33,514,27,555,26,540,25,470,24,564,29,470,35,562,31,458,32
2014,497,32,558,34,496,28,552,28,510,26,561,26,,,,,523,32,586,27,504,37,579,22,498,33,555,26,498,32,548,33,484,,587,,525,26,582,26,524,32,584,28,524,31,489,34,482,29,516,26,572,33,512,37,496,39,564,31,,,,,456,38,512,31,499,21,552,24,536,27,465,26,565,32,462,41,561,31,462,34
2015,491,38,536,30,487,30,543,26,501,26,551,25,,,,,,,,,,,,,515,32,552,24,,,,,,,,,534,22,570,23,504,28,560,20,511,41,500,30,485,25,495,27,547,30,495,25,487,30,538,23,,,,,471,33,508,35,492,19,524,25,519,21,467,23,544,25,454,36,541,31,469,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
